,,,Misc,,,,,,Games,,Receiving,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Rec,Yds,TD,Lng
Cole Kmet,6.78,0,0,0,3,2020,2023,14,56,49,163,1639,12,50
David Thomas,6.68,1,0,0,3,2006,2012,9,80,38,102,938,8,37
Mark Boyer,6.65,0,0,0,6,1985,1992,13,114,80,170,1534,6,38
Ted Popson,6.65,1,0,0,1,1994,1998,9,68,20,103,980,8,39
Roland Williams,6.65,1,0,0,5,1998,2005,9,94,68,114,1004,13,49
Pat Beach,6.63,0,0,0,7,1982,1993,13,160,104,163,1558,14,30
Robert Awalt,6.58,0,0,0,3,1987,1993,13,95,44,138,1583,10,52
Pat Curran,6.55,0,0,0,2,1969,1978,13,122,34,106,1266,5,39
Chris Baker,6.53,0,0,0,5,2002,2010,13,131,71,168,1763,15,47
Lonnie Johnson,6.53,0,0,0,4,1994,1999,13,88,66,163,1587,6,62
Morris Stroud,6.48,1,0,0,4,1969,1974,10,69,49,54,977,7,54
Andrew Quarless,6.33,1,0,0,2,2010,2015,9,60,27,89,940,6,34
Blake Bell,6.25,2,0,0,1,2015,2023,5,106,27,62,653,2,48
Terry Nelson,6.25,0,0,0,3,1973,1980,13,87,48,87,1113,6,52
